CountryID,Country,latest year available,Net freshwater supplied by water supply industry (mio m3),Footnotes,Net freshwater supplied by water supply industry per capita (m3),Footnotes,latest year available,Total population supplied by water supply industry (%),Footnotes,Net freshwater supplied by water supply industry per capita connected (m3)
8,Albania,2015,920.00,,…,,2017,78.00,,…
12,Algeria,2015,3548.00,,89.31,,2015,98.00,,91.13
20,Andorra,2015,6.01,,77.06,,2015,100.00,,77.06
24,Angola,…,…,,…,,2011,15.30,,…
28,Antigua and Barbuda,2015,3.64,,…,,2011,82.00,,…
51,Armenia,2017,121.20,,…,,2016,97.90,,…
36,Australia,2017,3450.00,,…,,…,…,,…
40,Austria,2010,587.00,,…,,2016,92.00,,…
31,Azerbaijan,2017,255.60,1,25.96,,2017,50.90,,51.01
48,Bahrain,2015,260.50,,189.89,,2015,99.30,,191.23
50,Bangladesh,2015,776.32,2,…,,…,…,,…
112,Belarus,2015,611.00,,…,,…,…,,…
56,Belgium,2014,579.35,,…,,2009,100.00,,…
84,Belize,2012,7.65,,22.62,,2012,57.55,,39.31
204,Benin,2009,28.00,,…,,…,…,,…
60,Bermuda,2017,2.63,,41.72,,2017,19.00,,219.58
68,Bolivia (Plurinational State of),2016,224.68,3,…,,2017,85.67,4,…
70,Bosnia and Herzegovina,2015,158.30,,…,,2017,68.00,,…
72,Botswana,2016,72.10,,…,,2006,96.00,,…
76,Brazil,2016,9890.36,,47.97,,2016,83.30,5,57.59
92,British Virgin Islands,…,…,,…,,2001,48.40,,…
100,Bulgaria,2015,380.86,,…,,2017,99.00,6,…
108,Burundi,2017,26.53,,…,,…,…,,…
132,Cabo Verde,…,…,,…,,2017,84.50,7,…
120,Cameroon,2009,85.44,,…,,2007,43.90,,…
124,Canada,2015,5021.00,,…,,…,…,,…
136,Cayman Islands,2015,3.87,,…,,…,…,,…
140,Central African Republic,…,…,,…,,2009,30.00,,…
152,Chile,2011,1064.39,,…,,…,…,,…
344,"China, Hong Kong Special Administrative Region",2015,973.00,,135.40,,2015,99.99,,135.42
446,"China, Macao Special Administrative Region",2015,84.94,,141.07,,2015,100.00,,141.07
170,Colombia,2016,3128.59,,…,,…,…,,…
188,Costa Rica,2017,289.36,,58.46,,2017,95.21,,61.40
191,Croatia,2009,271.30,8,…,,2011,86.00,,…
192,Cuba,2017,910.00,,80.25,,2017,95.60,,83.95
196,Cyprus,2015,81.90,,…,,2017,100.00,,…
203,Czechia,2015,481.30,,…,,2017,95.00,,…
208,Denmark,2009,385.60,,…,,2002,97.00,,…
218,Ecuador,…,…,,…,,2012,74.53,,…
818,Egypt,2015,6129.00,,66.30,,2015,98.00,,67.65
233,Estonia,2013,51.60,,…,,2017,83.00,,…
242,Fiji,2017,75069.05,,…,,…,…,,…
246,Finland,1999,404.00,,…,,2014,94.00,,…
250,France,2013,3622.00,,56.69,,2013,99.00,,57.26
254,French Guiana,2014,14.68,9,…,,2012,68.00,,…
270,Gambia,…,…,,…,,2005,50.00,,…
268,Georgia,2017,262.00,,65.36,,2017,66.00,,99.03
276,Germany,2013,4233.31,,…,,2016,99.00,,…
300,Greece,2015,1182.14,,…,,2007,94.00,,…
312,Guadeloupe,2015,35.73,9,…,,2012,76.00,,…
320,Guatemala,…,…,,…,,2011,74.90,,…
324,Guinea,2009,68.10,,…,,2016,48.00,,…
328,Guyana,2012,127.00,,…,,…,…,,…
348,Hungary,2015,443.39,,…,,2017,100.00,,…
352,Iceland,2005,67.00,,…,,2014,95.00,,…
360,Indonesia,2012,2968.60,10,…,,…,…,,…
364,Iran (Islamic Republic of),2017,5610.00,11,69.54,,2017,95.22,,73.03
368,Iraq,2015,3745.00,,105.28,,2015,86.80,,121.29
372,Ireland,2011,669.00,,…,,2007,85.00,,…
376,Israel,2012,1902.00,,…,,…,…,,…
380,Italy,2012,5232.20,,…,,…,…,,…
388,Jamaica,2017,86.80,,…,,2011,80.00,,…
392,Japan,2012,80500.00,,…,,…,…,,…
400,Jordan,2015,214.28,,…,,2014,96.70,,…
398,Kazakhstan,2017,1124.00,,62.17,,2017,92.00,,67.57
414,Kuwait,2015,639.64,,166.76,,2015,100.00,,166.76
417,Kyrgyzstan,2017,5072.00,,…,,…,…,,…
428,Latvia,2015,73.79,,…,,…,…,,…
422,Lebanon,2008,326.00,12,…,,2005,75.60,,…
440,Lithuania,2015,101.16,,…,,2017,82.00,,…
442,Luxembourg,…,…,,…,,2015,100.00,,…
450,Madagascar,2007,101.00,,…,,…,…,,…
454,Malawi,2016,25.94,,…,,…,…,,…
458,Malaysia,2017,3936.85,,126.57,,2017,95.50,,132.53
462,Maldives,2015,5.89,,…,,…,…,,…
466,Mali,2017,11402.00,,615.91,,2017,68.00,,905.75
470,Malta,2015,27.69,,…,,2017,100.00,,…
474,Martinique,2015,37.89,,…,,2012,100.00,13,…
480,Mauritius,2017,120.10,,94.98,,2017,99.70,,95.26
484,Mexico,2017,12628.00,,…,,…,…,,…
492,Monaco,2017,4.72,,123.07,,2017,100.00,,123.07
499,Montenegro,2011,49.68,,…,,…,…,,…
504,Morocco,…,…,,…,,2014,83.00,14,…
528,Netherlands,2014,1067.90,,…,,2016,100.00,,…
540,New Caledonia,…,…,,…,,2014,95.00,,…
562,Niger,2012,52.20,,…,,…,…,,…
566,Nigeria,2010,3047.00,,19.22,,2010,56.00,,34.33
807,North Macedonia,2014,524.10,,252.24,,2014,95.00,15,265.52
578,Norway,1994,575.00,,…,,2017,89.00,,…
591,Panama,2017,418.79,,…,,2016,77.70,,…
600,Paraguay,…,…,,…,,2017,80.90,,…
604,Peru,…,…,,…,,2017,89.40,,…
608,Philippines,…,…,,…,,2004,80.20,,…
616,Poland,2015,1595.10,,…,,2017,92.00,,…
620,Portugal,2009,718.20,,…,,2017,93.00,,…
634,Qatar,2015,508.68,,198.26,,2015,100.00,,198.26
410,Republic of Korea,2015,7775.00,,…,,…,…,,…
498,Republic of Moldova,2017,96.80,,23.84,,2017,54.20,,43.99
642,Romania,2015,774.20,,…,,2017,68.00,,…
643,Russian Federation,2017,9080.00,,…,,2010,79.20,16,…
646,Rwanda,2012,19.60,,…,,2010,74.20,,…
638,Réunion,2014,130.00,,…,,…,…,,…
882,Samoa,2014,15.52,,80.74,,2014,96.00,,84.11
682,Saudi Arabia,2016,2770.00,,…,,2015,98.00,,…
686,Senegal,2017,150.32,17,9.75,,2017,48.56,18,20.08
688,Serbia,2015,423.00,,47.65,,2015,82.88,,57.50
702,Singapore,2015,664.50,,118.83,,2015,100.00,19,118.83
703,Slovakia,2015,288.13,,…,,2017,89.00,,…
705,Slovenia,2015,112.00,,…,,…,…,,…
710,South Africa,2012,14647.00,,277.23,,2012,93.80,,295.56
724,Spain,2014,3669.27,,…,,2016,100.00,,…
275,State of Palestine,…,…,,…,,2015,94.90,,…
729,Sudan,…,…,,…,,2011,60.50,,…
740,Suriname,2017,45.96,20,…,,2012,67.85,21,…
752,Sweden,2005,737.00,,…,,2015,88.00,,…
756,Switzerland,2015,803.00,,…,,2012,99.00,,…
764,Thailand,2014,4206.41,,…,,…,…,,…
780,Trinidad and Tobago,…,…,,…,,2016,96.90,22,…
788,Tunisia,2013,1232.00,,…,,2015,97.60,,…
792,Turkey,2014,3681.82,,…,,2016,98.00,,…
804,Ukraine,2012,2806.00,,…,,…,…,,…
784,United Arab Emirates,2015,1847.15,,…,,…,…,,…
826,United Kingdom of Great Britain and Northern Ireland,2011,3968.00,,…,,…,…,,…
834,United Republic of Tanzania,…,…,,…,,2013,55.60,,…
860,Uzbekistan,2015,1639.06,23,52.99,,2015,81.40,24,65.10
862,Venezuela (Bolivarian Republic of),2009,28267.80,,1008.45,,2009,95.00,,1061.52
704,Viet Nam,…,…,,…,,2012,31.97,25,…
887,Yemen,2013,99.30,26,3.95,,2013,18.60,26,21.23
716,Zimbabwe,2017,3820.33,,…,,…,…,,…
,,,,,,,,,,
,,,,,,,,,,
