CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"10,927","12,913","11,794","13,898","11,529",,,,,,,,,,,,,,,,,,,,1,1,,1,1
12,Algeria,...,...,...,...,...,...,354,324,320,348,343,339,376,370,365,358,352,345,338,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
20,Andorra,"5,734","4,177",...,...,...,...,"5,023","3,953","5,151","4,211","2,650","2,617","2,131","1,684","3,882","3,478","3,391","2,135","2,652","4,273","4,593","3,545",...,...,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,...,"1,887",...,...,...,...,936,"1,089","2,602","2,878","2,100","2,837","2,276","3,194","1,526","2,885","3,017","3,229","2,020","2,201","1,899","2,202","2,344","1,583",,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,"3,688","3,824",...,...,...,...,"3,450","3,370","4,258","4,570","4,238","3,442","4,156","3,832","3,055","3,273","3,739","3,560","2,857","2,597","2,488","2,307","2,634","2,108",,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,"16,399",...,...,...,...,...,...,...,...,...,"10,411","8,460","9,016","9,068","9,486","7,677","8,379","7,041","7,801","10,304","9,229","9,479",...,...,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,"8,889","5,104",...,...,...,...,"8,433","8,110","7,168","7,253","8,376","8,803","8,371","7,030","9,407","10,466",...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
56,Belgium,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,702","2,678","2,225","2,340","2,568","1,951",,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
84,Belize,...,...,...,...,...,...,...,"38,242","16,769","10,411","12,297","45,793",...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,61,57,56,57,47,42,42,41,41,41,41,41,,,,,,,,,,,,,"2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4"
70,Bosnia and Herzegovina,...,...,...,...,...,...,"5,205","7,122","6,515","5,142","6,995","7,220","5,811","6,260","5,812","6,987","14,483","3,962","8,057","10,267","14,568","7,584","9,350","8,386",,,,,,,,,,,,,,,,,,,,,,,,
76,Brazil,...,...,...,...,...,...,...,"53,779","54,280","50,812","50,202","48,457","49,685","49,834","47,409","47,754","46,374","30,432","20,760","29,891","28,186","19,773","19,632",...,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"11,451","15,042","16,388","14,720","14,273","11,559",,,,,,,,,,,,,,,,,,,,,,,,
108,Burundi,...,...,...,...,...,...,...,...,...,...,...,"1,355",...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,5,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",215,325,...,...,...,...,283,338,246,159,87,345,244,49,280,127,181,40,114,295,250,142,...,...,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,...,...,...,...,...,...,...,"27,517","26,862","27,645","27,981","26,352","24,154","27,254","27,461","23,737","29,926","23,966","20,597","20,256","23,421","22,064","21,430","22,188",,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
191,Croatia,...,...,...,...,...,...,...,...,...,...,...,"5,693","2,993","3,716",...,...,...,"26,119","28,747","34,027","34,006","27,062","48,698","44,920",,,,,,,,,,,,,,,,,,,,,,,7,7
192,Cuba,...,...,...,...,...,...,...,...,...,...,"2,183","5,739","4,602","6,598","5,042","2,908","4,274","3,997","5,223","4,585","4,413","3,909","4,033","5,903",,,,,,,,,,,,,,,,,,,,,,,,
531,Curaçao,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"7,398","4,177","31,133","3,375","2,426","2,129","3,359","3,202",,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,...,...,...,...,...,...,363,334,291,323,320,224,223,260,153,341,231,298,418,155,205,250,220,166,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
203,Czechia,966,"1,758",...,...,...,...,"1,453","1,576","2,351","1,162","1,250","1,525","1,873","1,351","1,046","1,138","2,383","1,323","1,234","1,878",804,945,"1,107","1,363",,,,,,,,,,,,,,,,,,1,1,1,,,,
218,Ecuador,"3,373","7,585",...,...,...,...,"7,670","7,590","9,358","6,340","3,924","3,848","6,976","6,947","11,830",...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
818,Egypt,...,...,...,...,...,...,...,...,...,805,610,716,889,"1,066",954,689,516,752,585,...,...,614,...,...,,,,,,,,,,,,,,,,,,,,,,,,
222,El Salvador,"4,212","4,777",...,...,...,...,"3,448","2,445","2,977","3,288","2,732","5,039","4,273","3,571","4,439","3,013","5,559","5,192","2,870","2,452","2,446","2,115","1,671","3,863",,,,,,,,,,,,,,,,,,,,,,,,
233,Estonia,"11,433","9,245",...,...,...,...,...,...,...,...,...,"21,382","5,659","23,385",...,...,...,"22,862","22,602","15,130",...,...,...,...,,,,,,,,,,,,,,,,,,,1,1,,,,
246,Finland,"18,114","21,293",...,...,...,...,"23,323","19,614","15,671","16,874","27,126","22,970","20,260","18,686","28,832","17,222","19,932","23,572","29,435","20,341","18,545","27,351","23,202","23,359",,,,,,,,,,,,,,,,,,,,,,,,
250,France,...,...,...,...,...,...,...,...,...,...,...,"1,247","8,278","8,219","3,476","2,727","3,379","2,142","3,347","4,388","3,862","2,138","3,550","2,506",,,,,,,,,,,,,,,,,,,,,,,,
270,Gambia,449,"1,765",...,...,...,...,"2,801","2,146","-1,540","2,232","1,993","4,519",-677,-564,"3,375","7,438",...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
268,Georgia,"10,176",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
276,Germany,"2,048","2,733",...,...,...,...,"2,503","3,005","3,308","1,249","2,129","1,849","1,840","2,532","2,058","2,124","2,336","1,606","2,085","2,230","1,608","1,614",...,...,,,,,,,,,,,,,,,,,,,,,,,,
348,Hungary,"8,905","12,529",...,...,...,...,"11,706","11,940","12,755","8,229","11,855","13,682","13,215","10,784","11,006","12,562","16,724","8,934","9,634","12,828","11,600","9,381","11,759","10,411",,,,,,,,,,,,,,,,,,,,,,,,
352,Iceland,...,...,...,...,...,...,...,...,...,...,...,"4,58,172","5,48,250","5,37,041","4,67,573","5,01,848","3,83,148","5,34,748","4,63,637","4,77,982","5,35,323",...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
368,Iraq,...,...,...,...,...,...,"5,484","4,379","6,024","6,350","5,320","4,244","5,928","4,270","3,010","1,074","1,629","2,510","1,881","1,961","1,422","1,272","1,579","1,230",,,,,,,,,,,,,,,,,,,,,,,,
372,Ireland,...,...,...,...,...,...,...,...,...,...,...,"10,815","13,262","10,069","14,552","15,393","9,282","12,027","12,182","10,724","13,817","15,410","10,202","10,984",,,,,,,,,,,,,,,,,,,,,,,,
380,Italy,"3,011",...,...,...,...,...,...,"1,850","2,223","1,804","2,539","2,022","1,287","1,221","2,264","2,619","3,037",0,0,0,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
388,Jamaica,"3,823",...,...,...,...,...,...,...,...,...,...,"4,018",...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
400,Jordan,...,...,...,...,...,...,...,195,240,263,213,...,107,107,80,98,118,79,72,69,67,94,86,67,,,,,,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,...,...,"8,213","8,352","8,596","6,622","7,417","5,606","6,179","8,757","6,115","5,478","7,113","6,346","6,112","8,194","7,688",,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
414,Kuwait,...,...,...,...,...,...,...,...,...,...,...,...,...,38,11,38,8,24,36,31,18,24,21,11,,,,,,,,,,,,,,,,,,,,,,,,
417,Kyrgyzstan,"7,808","5,483",...,...,...,...,"4,544","4,625","6,004","4,846","4,302","4,190","3,642","4,237","4,082","5,337","5,389","4,030","5,483",...,...,...,...,...,9,9,,,,,9,9,9,9,9,9,9,9,9,9,,,,,,,,
428,Latvia,"20,529","15,609",...,...,...,...,"14,727","15,694","17,634","18,735","14,352","13,344","10,773","17,512","16,979","19,179","24,249","15,382","22,042","18,555","18,515","14,204","22,058","23,405",,,,,,,,,,,,,,,,,,,,,,,,
422,Lebanon,...,...,...,...,...,...,"1,329",...,...,...,...,...,...,...,...,980,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
440,Lithuania,"8,167","7,183",...,...,...,...,"6,902","7,258","7,109","4,921","7,560","7,446","5,760","8,345","6,991","6,366","9,369","8,457","9,242","6,826","8,146","6,846","11,530","11,871",,,,,,,,,,,,,,,,,,,,,,,,
442,Luxembourg,"4,717","4,236",...,...,...,...,...,...,...,...,...,...,...,...,"2,138","1,868","3,776","2,900",...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
450,Madagascar,...,...,...,...,...,...,"21,374",...,...,...,...,...,...,"17,341",...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
466,Mali,"11,092",...,...,...,...,...,...,...,...,...,"6,946","8,195","7,045","8,666","8,722","8,556","9,526","7,670","9,408","7,964","7,345","8,085","8,119",732,,,,,,,,,,,,,,,,,,,,,,,,
470,Malta,269,297,...,...,...,...,192,143,189,374,195,214,228,261,209,283,219,251,192,176,184,203,117,158,,,,,,,,,,,,,,,,,,,,,,,,
480,Mauritius,"2,122","2,539",...,...,...,...,"2,158","2,019","2,193","2,481","2,240","2,750","2,030","2,089","2,360","2,371","2,203","1,844","1,754","2,058","2,077","2,652","2,001","2,237",10,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,"10,11",,
504,Morocco,...,"2,110",...,...,...,...,...,...,...,...,961,...,...,705,"1,393","1,344",...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
520,Nauru,"2,853",...,...,...,...,...,...,...,...,...,"2,644","2,302","1,687",733,287,"1,858",914,"1,004","1,175",...,"2,348","3,419",...,...,,,,,,,,,,,,,,,,,,,,,,,,
528,Netherlands,"4,763","7,063","4,301","4,747","6,634","7,056","6,617","7,401","7,389","4,142","4,924","4,666","4,977","6,056","5,227","4,862","5,608","4,426","5,596","5,970","4,872","4,830","5,429",...,,,,,,,,,,,,,,,,,7,7,7,7,,7,,
807,North Macedonia,...,...,...,...,...,...,...,...,...,...,...,"9,307","6,719","7,467","6,288","7,021","10,108",...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
578,Norway,...,"98,220","71,730","94,911","87,603","90,555","1,04,470","81,594","77,547","79,287","82,068","3,238","2,309","2,729","2,581","2,358","35,252","58,860","48,988","49,371","41,097","55,757",...,...,,,,,,,,,,,,,,,,,,,,,,,,
591,Panama,"43,089",...,...,...,...,...,"43,865","40,178","38,993","47,938","41,524","43,035","40,084","46,993","38,350","35,725","47,604","37,318","30,471","27,509","28,249","23,343","29,967","32,714",,,,,,,,,,,,,,,,,,,,,,,,
616,Poland,"1,137","1,583","1,577","1,738","1,898","2,086","1,696","1,715","1,769","1,243","1,313","1,474","1,307","1,480","1,414","1,436","2,264","1,993","1,295","1,754","1,371","1,072","1,091","1,608",,,,,,,,,,,,,,,,,,,,,,,,
620,Portugal,...,"1,395",...,...,...,...,"1,991",...,...,"3,927","2,450","1,126",999,"3,065","1,596","1,675","5,125","3,066",...,...,...,...,"4,475","1,664",,,,,,,,,,,,,,,,,,,,,,,,
634,Qatar,...,...,...,...,137,130,168,13,81,132,74,80,164,41,32,65,23,50,23,36,23,42,29,40,,,,,,,,,,,,,,,,,,,,,,,,
498,Republic of Moldova,"-1,895","1,114",...,...,...,...,10,"1,688",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
642,Romania,961,"1,623","1,932","2,296","2,369","2,369","1,604","1,744","1,825","1,388","1,850","2,975","2,657","1,797","1,893","1,672","3,027","1,512","1,212","1,767","2,106","1,748","2,058","1,487",,,,,,,,,,,,,,,,,,,,,,,,
643,Russian Federation,...,"29,198",...,...,...,...,"30,896","29,912","32,249","29,677","31,269","31,727","30,410","34,115","32,897","31,368","30,259","30,703","29,409","31,974","31,957","32,058","30,570","32,169",,,,,,,,,,,,,,,,,,,,,,,,
686,Senegal,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,771",,,,,,,,,,,,,,,,,,,,,,,,12
688,Serbia,"11,898","18,486",...,...,...,...,"17,429","18,178","19,284","13,352","18,935","22,360","22,728","16,601","17,178","19,421","27,331","15,098","15,908","22,097","21,902","18,038",...,...,,,,,,,,,,,,,,,,,,,,,,,,
703,Slovakia,"13,560","16,279","14,576","14,612","14,563","17,031","16,869","16,823","18,075","11,020","13,201","15,226","14,526","15,000","14,661","15,294","19,173","11,699","15,274","18,085","14,647","12,253","15,856","14,565",,,,,,,,,,,,,,,,,,,,,,,,
705,Slovenia,"15,172","15,810","18,093","12,995","15,544","16,073","16,110","13,951","13,355","9,237","17,145","14,713","12,594","13,553","17,834","18,881","17,982","9,611","16,211","18,280","22,417","11,483","16,090","15,499",,,,,,,,,,,,,1,,,,,,,,,,,13
710,South Africa,...,...,...,...,...,...,"1,187",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
724,Spain,"2,864","1,841","4,198","3,610","3,036","1,480","4,112","1,506","3,129","2,850","1,239","1,915","2,452","1,512","1,734","3,678","2,297","1,718","3,591","1,352",...,"3,479",...,...,,,,,,,,,,,,,,,,,,,,,,,,
752,Sweden,"22,795","22,746","13,083","16,749","25,682","20,101","29,698","24,793","18,210","17,362","21,579","20,755","21,160","21,872","22,774","20,321","19,988","23,231","24,664","17,591","18,997","22,582","16,696","19,668",,,,,,,,,,,,,,,,,,,,,,,,
756,Switzerland,"6,459","9,031","5,774","7,275","5,925","9,668","7,746","9,449","6,984","6,667","6,179","5,954","6,252","6,793","6,660","6,139","6,108","5,029","6,184","7,626","6,491","6,168",...,...,,,,,,,,,,,,,,,,,,,,,,,,
760,Syrian Arab Republic,...,...,...,...,...,...,651,713,806,"1,150",966,947,857,775,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
764,Thailand,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"4,168",...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
768,Togo,"4,753","4,211","4,097","3,994","3,892","3,791","3,621","3,521","3,428","3,339","3,252","3,167","3,083","3,001",...,...,...,...,"1,677",...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
780,Trinidad and Tobago,...,...,...,...,...,...,"5,178","2,425","4,121",-200,"3,316","3,137","3,340",...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,14,,,,,,,,,,,,,,
788,Tunisia,702,308,...,...,...,...,298,224,223,399,443,303,348,356,201,321,201,270,295,166,...,...,...,...,15,15,,,,,15,15,15,15,15,15,15,15,,,,,,,,,,
826,United Kingdom of Great Britain and Northern Ireland,"3,295","2,878","2,199","2,379","3,382","3,364","3,890","2,770","3,495","1,983","2,966","2,595","2,708","2,635","3,040","2,560","1,753",...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
862,Venezuela (Bolivarian Republic of),"56,240","49,892","3,34,669","3,50,528","3,41,598","3,45,081","41,123","40,365","40,421","30,627","38,251","40,959","32,198","34,355","32,307","19,292",...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
887,Yemen,207,163,...,...,...,...,123,...,211,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
716,Zimbabwe,"4,092","2,716",...,...,...,...,"4,777","4,650","3,164","3,982","4,999","2,925","4,869","4,394","4,994","4,868","4,737","4,921","3,722","4,586","4,451","3,184","3,320","4,758",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
